tau,t_i,sigma,Imax,S_i,R_e_i
0.5,98.36869798981022,0.0,0.29027842598568865,0.42265608277354194,0.0
1.5056179775280898,95.9707076190294,0.0,0.272661184923514,0.48860558588197367,0.0
2.5112359550561796,94.51595766819686,0.0,0.2580835170308594,0.5307816063916654,0.0
3.5168539325842696,93.45260926213194,0.0,0.24585031386016937,0.5621602344690764,0.0
4.522471910112359,92.61738334045549,0.0,0.2354629076077418,0.5869080591772285,0.0
5.528089887640449,91.93475403854997,0.0,0.2265542309014011,0.6070819267127714,0.0
6.533707865168539,91.36240251834839,0.0,0.21884806881552443,0.6238932819190894,0.0
7.539325842696629,90.87382898336526,0.0,0.21213257454776657,0.6381293172811275,0.0
8.544943820224718,90.45117495975839,0.0,0.20624253704782108,0.6503348116803789,0.0
9.550561797752808,90.081757840588,0.0,0.20104720506100404,0.6609037986750723,0.0
10.556179775280897,89.75620871786892,0.0,0.1964417339453357,0.6701308241377318,0.0
11.561797752808987,89.46739127709621,0.0,0.19234108055789345,0.6782417612433029,0.0
12.567415730337078,89.20973391070325,0.0,0.18867553065631204,0.6854134577054922,0.0
13.573033707865168,88.9787962300545,0.0,0.18538737756296242,0.6917868025673453,0.0
14.578651685393258,88.77098041845295,0.0,0.18242845613389605,0.6974756533889995,0.0
15.584269662921347,88.58332803539614,0.0,0.17975823751629197,0.7025732022432063,0.0
16.589887640449437,88.41273416143649,0.017607640529631728,0.1773332517383166,0.7071738182409893,0.0373549871506634
17.595505617977526,88.24506666656505,0.07696885752529119,0.17495317118239387,0.7116634340415221,0.16432776438210414
18.601123595505616,88.07549534399887,0.12921706867727237,0.17255034584672307,0.7161707809666149,0.2776244669664566
19.606741573033705,87.90424454903682,0.17310969532135356,0.17012903949402178,0.7206879465708542,0.3742742125579575
20.612359550561795,87.7315529289663,0.21126275339655337,0.16769372672691968,0.7252067977777209,0.45962755464125643
21.617977528089884,87.55762748385331,0.24526627118750213,0.1652484535346176,0.7297201999469606,0.5369272573535685
22.623595505617974,87.38265588202445,0.2757610393397126,0.1627968898610826,0.7342216865934423,0.6074092062022931
23.629213483146064,87.20681346301828,0.3029934510997052,0.1603426420086777,0.7387052722205637,0.6714685793269674
24.634831460674157,87.03025928264331,0.32708457086160375,0.15788896801284638,0.743165549878242,0.7292339548831578
25.640449438202246,86.85348563237382,0.35491864842645937,0.15544370391093656,0.7475889825595293,0.7959998138056202
26.646067415730336,86.67558484591821,0.36800491456172685,0.15299532315782016,0.7519970515651991,0.8302158321357649
27.651685393258425,86.49773970411562,0.3869282098392806,0.15056109082621752,0.7563593455138125,0.8779703026646081
28.657303370786515,86.31966435081806,0.40237746558875964,0.14813796180721306,0.7606821393762141,0.9182440540825099
29.662921348314605,86.1414928395862,0.41658871388615654,0.1457286212687819,0.7649614190511266,0.9560228812051141
30.668539325842694,85.96330386108751,0.42908092757395505,0.14333493961161548,0.7691946562327191,0.9901402697437939
31.674157303370784,85.78579163813508,0.4329975834989017,0.14097501483457528,0.773365066334445,1.0045956146558475
32.67977528089887,85.61084069038657,0.4334434021496953,0.1386954061362713,0.7774291479183405,1.0109146044121926
33.68539325842696,85.4382820649631,0.43396614123177124,0.1364952474805167,0.7813923319073648,1.0172934451978035
34.69101123595505,85.26855245615477,0.43432896527246956,0.13437058472867036,0.7852462442909549,1.02316556630095
35.69662921348314,85.10109441471464,0.43474022507448623,0.1323177974980287,0.7890051847777798,1.0290368748456857
36.70224719101123,84.93596899135702,0.43513939899543197,0.13033345574930405,0.7926692643879831,1.0347648819238144
37.70786516853932,84.77311631250114,0.43552274708549993,0.1284142815287958,0.7962413219736688,1.0403436236668868
38.71348314606741,84.61314375570879,0.43579077554738005,0.12655723949383213,0.7997097751699899,1.0455184294024524
39.7191011235955,84.4541736530254,0.4362177036181609,0.12475953112461126,0.8031166133144302,1.0510010543928459
40.72471910112359,84.29846205831595,0.43647689502978243,0.12301842802694905,0.8064149228086466,1.0559444448395992
41.73033707865168,84.14154445868381,0.4370822528412927,0.12133151205496268,0.8096999043431033,1.0617163749469885
42.73595505617977,83.99238942276686,0.4370622335512426,0.11969610687519881,0.8127861041855351,1.065714330284229
43.74157303370786,83.8412191951508,0.4374355419564127,0.11811024423234678,0.8158778422508627,1.070681898285704
44.74719101123595,83.69236927119383,0.43774828619480466,0.11657172037166258,0.8188864976958236,1.0753984828632377
45.75280898876404,83.5457992883708,0.43801044997897337,0.11507848616414057,0.8218144823438233,1.0798899936319653
46.75842696629213,83.40053719113347,0.4382969551493417,0.11362868379772517,0.8246824504580273,1.0843674210025536
47.76404494382022,83.2531755341249,0.43883014329865594,0.11222067611570075,0.8275573881166505,1.0894713816452735
48.76966292134831,83.11725743404553,0.4386959447212058,0.1108522166782922,0.8301782815199488,1.0925875364952633
49.7752808988764,82.97574377865733,0.43903179936629716,0.10952227572886396,0.832875693580349,1.0969767432031
50.78089887640449,82.84026406997206,0.43909265392214863,0.10822908631614521,0.835428123013138,1.1004910550851141
51.78651685393258,82.7025475719829,0.43936869789891914,0.10697124296548487,0.837992683033457,1.1045632619796948
52.79213483146067,82.56608564429267,0.4396444938822248,0.10574736976655547,0.8405040792864886,1.108568971631561
53.79775280898876,82.4323028017341,0.43984661643503176,0.10455614410444253,0.8429374268741769,1.1122895252311762
54.80337078651685,82.30110087466257,0.4399869310755458,0.10339632559685091,0.8452962493279734,1.1157579077744533
55.80898876404494,82.16971290469792,0.4401971126260012,0.10226675085669969,0.8476311105302046,1.1193743022821008
56.81460674157303,82.04129802382046,0.4403284907053756,0.101166284692845,0.8498868015179372,1.1226881177484374
57.82022471910112,81.9097639449452,0.440644408182267,0.10009389073887837,0.852170370920545,1.1265123262942396
58.82584269662921,81.78040160896761,0.4409082147319951,0.0990485449026379,0.8543897560837411,1.1301223861205612
59.8314606741573,81.6593535913569,0.44088506860315557,0.09802913940853358,0.8564427952093853,1.1327785215617043
60.83707865168539,81.53470415300687,0.44105117903608426,0.09703493841313865,0.8585330531304997,1.1359710459739683
61.84269662921348,81.44123131773927,0.4401181459510277,0.09606670324009642,0.8600846754492207,1.1356166181588074
62.84831460674157,81.28897318691094,0.4413669476069363,0.09511845271185176,0.8625831780683172,1.1421471130833105
63.85393258426966,81.17030378870835,0.4414333583429796,0.09419452412715806,0.8645057364679337,1.1448650116674326
64.85955056179775,81.05291507623349,0.4414947569799203,0.09329245783678292,0.8663862999187333,1.1475150268000605
65.86516853932584,80.93815090821236,0.441507705842529,0.0924115557434023,0.8682044793474447,1.149956903636693
66.87078651685393,80.81506433369746,0.4418143077984429,0.09155088913841,0.8701322631454431,1.1533106506040895
67.87640449438202,80.69637997771028,0.4420056766078302,0.09071002983946837,0.8719694013712248,1.1562462757032386
68.8820224719101,80.54626145570255,0.4431292937468244,0.08988978730048075,0.8742627698246533,1.1622343312246235
69.8876404494382,80.46350570429249,0.4423249350347664,0.08908499699771978,0.8755126163312045,1.1617831834224552
70.89325842696628,80.35142592901899,0.44239671140468034,0.08829961298931538,0.8771890877790537,1.1641967031405744
71.89887640449437,80.234248593192,0.44262932985486897,0.08753156254244986,0.8789219131127667,1.1671098521875898
72.90449438202246,80.12423409271521,0.4426900860389477,0.08678027278341464,0.8805304047704074,1.1694062419431632
73.91011235955055,80.01400897792945,0.4427786530031629,0.0860452591308743,0.8821241964011398,1.1717572903919826
74.91573033707864,79.9032960744248,0.4428992150782261,0.08532600959585529,0.8837072276991677,1.1741797125207496
75.92134831460673,79.80165212211611,0.44281824152636534,0.0846221099821754,0.8851449550687986,1.1758749974984972
76.92696629213482,79.68995246261198,0.44300021807028483,0.08393294105519607,0.8867077605613591,1.178435193879888
77.93258426966291,79.57479142672359,0.44327401965238294,0.08325817295429659,0.888300299261854,1.1812813329366503
78.938202247191,79.42684720218256,0.44428537126541384,0.08259906232843456,0.8903185319889819,1.1866664985876092
79.94382022471909,79.35336304860041,0.44364764853877187,0.08195024132582122,0.89130950458954,1.1862820974942212
80.94943820224718,79.25662542224963,0.4435510666228715,0.0813161074695272,0.8926025101648785,1.187744386361653
81.95505617977527,79.15378306646296,0.44360383756855454,0.08069483207483591,0.8939627915526414,1.1896959749287486
82.96067415730336,79.05787778792205,0.4435292736079399,0.08008605177163901,0.8952180982266605,1.1911662984814566
83.96629213483145,78.9651464213262,0.44341034158190656,0.07948952550286348,0.8964198034552009,1.1924454337525685
84.97191011235954,78.84486329652577,0.44385230797509434,0.07890417346916917,0.8979610052159298,1.1956861939101784
85.97752808988763,78.73923011162874,0.4440093291898007,0.07833054336115369,0.8992982645807294,1.1978904575941247
86.98314606741572,78.63124155298287,0.44421813926416115,0.07776805123511071,0.9006497658882248,1.2002548893947087
87.9887640449438,78.52719179862203,0.44435973442265236,0.0772163632787603,0.9019371810401207,1.2023536986987111
88.9943820224719,78.43663782430802,0.4442663574372977,0.07667508557736234,0.9030458784513175,1.2035787090549945
90.0,78.3049930545433,0.44491148197941355,0.07614474180292125,0.9046383395174123,1.2074519528702634
